index,uri,danceability,acousticness,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,mood,mood_string
99,spotify:track:3NFvv5bC6HWtxUftIBm8Qd,0.787,0.0286,0.796,0,11,0.0909,-3.551,0,0.0429,126.032,4,0.634,0,energetic
100,spotify:track:3LWDPEXEaLBRGNLbdcbwBR,0.726,0.0218,0.931,0.000283,11,0.143,-4.152,0,0.0468,126.976,4,0.797,0,energetic
101,spotify:track:3NuK5xMlSlB6K2Qp16zf3h,0.74,0.0357,0.622,4.85E-05,11,0.356,-4.608,0,0.0446,104.966,4,0.556,0,energetic
102,spotify:track:7ssEhls1ZYEGtBsoovkMSe,0.746,0.0142,0.825,0.0107,1,0.121,-4.666,1,0.169,152.914,4,0.584,0,energetic
103,spotify:track:18rHGxr6QDiPieSTo7cUGL,0.554,0.00237,0.848,0,5,0.185,-4.075,0,0.0745,144.996,4,0.286,0,energetic
104,spotify:track:5Gju0LWTWKIYojfe9OIFHk,0.712,0.25,0.967,3.05E-05,8,0.0736,-1.316,1,0.0623,105.036,4,0.92,0,energetic
105,spotify:track:3q7eDGLKP0MlhqaGEJ3Lg0,0.61,0.0641,0.971,3.56E-06,6,0.338,0.006,0,0.169,150.089,4,0.487,0,energetic
106,spotify:track:02itaCXOdC54J0ISjqqFAp,0.733,0.479,0.859,0.0645,9,0.105,-5.03,0,0.033,124.948,4,0.52,0,energetic
107,spotify:track:0xrm0qXfjfftGOA5ukku4G,0.725,0.0197,0.651,0,5,0.182,-4.284,0,0.179,128.028,4,0.71,0,energetic
108,spotify:track:2BgEsaKNfHUdlh97KmvFyo,0.697,0.0372,0.683,0,1,0.137,-2.881,0,0.117,96.133,4,0.603,0,energetic
109,spotify:track:6aHqV0UAuIxz596UmGAszz,0.747,0.282,0.926,0,9,0.112,-4.063,0,0.124,115.951,4,0.902,0,energetic
110,spotify:track:0UmXSUCoE2I67n8ERd0Hdi,0.81,0.153,0.828,1.23E-06,6,0.0852,-4.14,1,0.117,125.921,4,0.87,0,energetic
111,spotify:track:2vTaJoK6kaRnwsAPn66STg,0.644,0.0105,0.993,0,8,0.276,-2.784,1,0.0688,142.04,4,0.392,0,energetic
112,spotify:track:3s6ltUrI93LBKU8taezsLn,0.621,0.091,0.907,0,2,0.067,-3.923,1,0.0474,128.056,4,0.884,0,energetic
113,spotify:track:6tK77Y61ZxGga7uCbMaEI1,0.72,0.00215,0.953,1.94E-05,11,0.105,-2.47,0,0.245,127.991,4,0.554,0,energetic
114,spotify:track:5BqUbKq9rCMrCkRtAiz8XA,0.695,0.0785,0.898,1.97E-05,2,0.21,-1.635,0,0.0907,126.046,4,0.55,0,energetic
115,spotify:track:54azQnjuDYDFfImXimGFsA,0.708,0.00219,0.857,0,6,0.103,-3.394,0,0.0827,126.051,4,0.449,0,energetic
116,spotify:track:1jYGoEYdR5K5tTANCmrftR,0.753,0.0728,0.869,0,5,0.202,-4.774,0,0.0276,123.978,4,0.968,0,energetic
117,spotify:track:1NDxZ7cFAo481dtYWdrUnR,0.703,0.15,0.868,0.132,7,0.104,-4.661,0,0.0291,121.03,4,0.733,0,energetic
118,spotify:track:4QVFtAswXqPoAWRLo5yu8a,0.586,0.0345,0.865,5.70E-06,7,0.165,-4.092,1,0.319,172.912,4,0.468,0,energetic
